amphoe,tambon,cand_number,candidate_name,party_name,color_hex,score,amphoe_total,vote_share_%
อำเภอน้ำขุ่น,ตำบลโคกสะอาด,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,12,11556,0.1
อำเภอน้ำขุ่น,ตำบลไพบูลย์,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,87,11556,0.75
อำเภอน้ำขุ่น,ตำบลไพบูลย์,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2626,11556,22.72
อำเภอน้ำขุ่น,ตำบลไพบูลย์,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,154,11556,1.33
อำเภอน้ำขุ่น,ตำบลไพบูลย์,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,41,11556,0.35
อำเภอน้ำขุ่น,ตำบลไพบูลย์,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,94,11556,0.81
อำเภอน้ำขุ่น,ตำบลไพบูลย์,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,7,11556,0.06
อำเภอน้ำยืน,ตำบลบุเปือย,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,53,28486,0.19
อำเภอน้ำยืน,ตำบลบุเปือย,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3371,28486,11.83
อำเภอน้ำยืน,ตำบลบุเปือย,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,103,28486,0.36
อำเภอน้ำยืน,ตำบลบุเปือย,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,40,28486,0.14
อำเภอน้ำยืน,ตำบลบุเปือย,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,132,28486,0.46
อำเภอน้ำยืน,ตำบลบุเปือย,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,16,28486,0.06
อำเภอน้ำยืน,ตำบลยาง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,84,28486,0.29
อำเภอน้ำยืน,ตำบลยาง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2795,28486,9.81
อำเภอน้ำยืน,ตำบลยาง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,58,28486,0.2
อำเภอน้ำยืน,ตำบลยาง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,32,28486,0.11
อำเภอน้ำยืน,ตำบลยาง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,124,28486,0.44
อำเภอน้ำยืน,ตำบลยาง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,3,28486,0.01
อำเภอน้ำยืน,ตำบลยางใหญ่,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,49,28486,0.17
อำเภอน้ำยืน,ตำบลยางใหญ่,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2281,28486,8.01
อำเภอน้ำยืน,ตำบลยางใหญ่,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,122,28486,0.43
อำเภอน้ำยืน,ตำบลยางใหญ่,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,13,28486,0.05
อำเภอน้ำยืน,ตำบลยางใหญ่,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,96,28486,0.34
อำเภอน้ำยืน,ตำบลยางใหญ่,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,5,28486,0.02
อำเภอน้ำยืน,ตำบลสีวิเชียร,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,46,28486,0.16
อำเภอน้ำยืน,ตำบลสีวิเชียร,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4204,28486,14.76
อำเภอน้ำยืน,ตำบลสีวิเชียร,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,152,28486,0.53
อำเภอน้ำยืน,ตำบลสีวิเชียร,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,20,28486,0.07
อำเภอน้ำยืน,ตำบลสีวิเชียร,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,204,28486,0.72
อำเภอน้ำยืน,ตำบลสีวิเชียร,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,17,28486,0.06
อำเภอน้ำยืน,ตำบลเก่าขาม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,64,28486,0.22
อำเภอน้ำยืน,ตำบลเก่าขาม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3077,28486,10.8
อำเภอน้ำยืน,ตำบลเก่าขาม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,94,28486,0.33
อำเภอน้ำยืน,ตำบลเก่าขาม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,25,28486,0.09
อำเภอน้ำยืน,ตำบลเก่าขาม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,93,28486,0.33
อำเภอน้ำยืน,ตำบลเก่าขาม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,3,28486,0.01
อำเภอน้ำยืน,ตำบลโซง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,65,28486,0.23
อำเภอน้ำยืน,ตำบลโซง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3522,28486,12.36
อำเภอน้ำยืน,ตำบลโซง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,136,28486,0.48
อำเภอน้ำยืน,ตำบลโซง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,38,28486,0.13
อำเภอน้ำยืน,ตำบลโซง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,112,28486,0.39
อำเภอน้ำยืน,ตำบลโซง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,6,28486,0.02
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,108,28486,0.38
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,6654,28486,23.36
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,272,28486,0.95
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,60,28486,0.21
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,136,28486,0.48
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,1,28486,0.0
