amphoe,tambon,cand_number,candidate_name,party_name,color_hex,score
อำเภอน้ำยืน,ตำบลยาง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,84
อำเภอน้ำยืน,ตำบลยาง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2795
อำเภอน้ำยืน,ตำบลยาง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,58
อำเภอน้ำยืน,ตำบลยาง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,32
อำเภอน้ำยืน,ตำบลยาง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,124
อำเภอน้ำยืน,ตำบลยาง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,3
อำเภอน้ำยืน,ตำบลยางใหญ่,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,49
อำเภอน้ำยืน,ตำบลยางใหญ่,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2281
อำเภอน้ำยืน,ตำบลยางใหญ่,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,122
อำเภอน้ำยืน,ตำบลยางใหญ่,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,13
อำเภอน้ำยืน,ตำบลยางใหญ่,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,96
อำเภอน้ำยืน,ตำบลยางใหญ่,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,5
อำเภอน้ำยืน,ตำบลสีวิเชียร,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,46
อำเภอน้ำยืน,ตำบลสีวิเชียร,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,4204
อำเภอน้ำยืน,ตำบลสีวิเชียร,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,152
อำเภอน้ำยืน,ตำบลสีวิเชียร,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,20
อำเภอน้ำยืน,ตำบลสีวิเชียร,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,204
อำเภอน้ำยืน,ตำบลสีวิเชียร,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,17
อำเภอน้ำยืน,ตำบลเก่าขาม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,64
อำเภอน้ำยืน,ตำบลเก่าขาม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3077
อำเภอน้ำยืน,ตำบลเก่าขาม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,94
อำเภอน้ำยืน,ตำบลเก่าขาม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,25
อำเภอน้ำยืน,ตำบลเก่าขาม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,93
อำเภอน้ำยืน,ตำบลเก่าขาม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,3
อำเภอน้ำยืน,ตำบลโซง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,65
อำเภอน้ำยืน,ตำบลโซง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,3522
อำเภอน้ำยืน,ตำบลโซง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,136
อำเภอน้ำยืน,ตำบลโซง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,38
อำเภอน้ำยืน,ตำบลโซง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,112
อำเภอน้ำยืน,ตำบลโซง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,6
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,108
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,6654
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,272
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,60
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,136
อำเภอน้ำยืน,ตำบลโดมประดิษฐ์,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,1
อำเภอสำโรง,ตำบลขามป้อม,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,53
อำเภอสำโรง,ตำบลขามป้อม,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1037
อำเภอสำโรง,ตำบลขามป้อม,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,88
อำเภอสำโรง,ตำบลขามป้อม,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,23
อำเภอสำโรง,ตำบลขามป้อม,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,155
อำเภอสำโรง,ตำบลขามป้อม,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,4
อำเภอสำโรง,ตำบลค้อน้อย,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,158
อำเภอสำโรง,ตำบลค้อน้อย,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2500
อำเภอสำโรง,ตำบลค้อน้อย,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,353
อำเภอสำโรง,ตำบลค้อน้อย,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,32
อำเภอสำโรง,ตำบลค้อน้อย,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,233
อำเภอสำโรง,ตำบลค้อน้อย,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,33
อำเภอสำโรง,ตำบลหนองไฮ,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,317
อำเภอสำโรง,ตำบลหนองไฮ,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2009
อำเภอสำโรง,ตำบลหนองไฮ,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,315
อำเภอสำโรง,ตำบลหนองไฮ,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,58
อำเภอสำโรง,ตำบลหนองไฮ,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,145
อำเภอสำโรง,ตำบลหนองไฮ,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,8
อำเภอสำโรง,ตำบลโคกสว่าง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,138
อำเภอสำโรง,ตำบลโคกสว่าง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,2245
อำเภอสำโรง,ตำบลโคกสว่าง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,420
อำเภอสำโรง,ตำบลโคกสว่าง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,43
อำเภอสำโรง,ตำบลโคกสว่าง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,254
อำเภอสำโรง,ตำบลโคกสว่าง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,19
อำเภอสำโรง,ตำบลโนนกลาง,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,123
อำเภอสำโรง,ตำบลโนนกลาง,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,552
อำเภอสำโรง,ตำบลโนนกลาง,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,660
อำเภอสำโรง,ตำบลโนนกลาง,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,32
อำเภอสำโรง,ตำบลโนนกลาง,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,154
อำเภอสำโรง,ตำบลโนนกลาง,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,7
อำเภอสำโรง,ตำบลโนนกาเล็น,1,นายเกษม ฉิมพลี,ภูมิใจไทย,#212b6b,226
อำเภอสำโรง,ตำบลโนนกาเล็น,2,นายสมศักดิ์ บุญประชม,เพื่อไทรวมพลัง,#ff66cc,1330
อำเภอสำโรง,ตำบลโนนกาเล็น,3,นายวัชรพล เชื้อคง,เพื่อไทย,#e0002b,995
อำเภอสำโรง,ตำบลโนนกาเล็น,4,นางสาวมิลิณ กำเนิดสิงห์,พลังประชารัฐ,#1f56a3,137
อำเภอสำโรง,ตำบลโนนกาเล็น,5,นายสิโรตม์ แสนทวีสุข,ประชาชน,#f47933,71
อำเภอสำโรง,ตำบลโนนกาเล็น,6,นายยิ่ง ภูผา,ประชาธิปัตย์,#00a2e8,18
